Epoch: 0, Test Loss: 1.091782808303833
{'recon_loss': 0.44444209337234497, 'kl_loss': 15161492.0, 'test_loss': 0.5459732413291931}
{'recon_loss': 0.4449520707130432, 'kl_loss': 15161491.0, 'test_loss': 0.5459732413291931}
Epoch: 150, Test Loss: 0.5458167567849159
{'recon_loss': 0.4498363435268402, 'kl_loss': 15161491.0, 'test_loss': 0.5458167567849159}
{'recon_loss': 0.45035842061042786, 'kl_loss': 15161491.0, 'test_loss': 0.5458167567849159}
{'recon_loss': 0.4480355381965637, 'kl_loss': 15161491.0, 'test_loss': 0.5458167567849159}
{'recon_loss': 0.4467620551586151, 'kl_loss': 15161491.0, 'test_loss': 0.5458167567849159}
{'recon_loss': 0.4432315230369568, 'kl_loss': 15161491.0, 'test_loss': 0.5458167567849159}
{'recon_loss': 0.44648614525794983, 'kl_loss': 15161488.0, 'test_loss': 0.5458167567849159}
{'recon_loss': 0.44410377740859985, 'kl_loss': 15161488.0, 'test_loss': 0.5458167567849159}
{'recon_loss': 0.4507048428058624, 'kl_loss': 15161488.0, 'test_loss': 0.5458167567849159}
{'recon_loss': 0.4506252110004425, 'kl_loss': 15161488.0, 'test_loss': 0.5458167567849159}
{'recon_loss': 0.44677552580833435, 'kl_loss': 15161488.0, 'test_loss': 0.5458167567849159}
Epoch: 160, Test Loss: 0.5479289218783379
{'recon_loss': 0.4490916132926941, 'kl_loss': 15161488.0, 'test_loss': 0.5479289218783379}
{'recon_loss': 0.44776928424835205, 'kl_loss': 15161488.0, 'test_loss': 0.5479289218783379}
{'recon_loss': 0.4434557259082794, 'kl_loss': 15161488.0, 'test_loss': 0.5479289218783379}
{'recon_loss': 0.4449944496154785, 'kl_loss': 15161488.0, 'test_loss': 0.5479289218783379}
{'recon_loss': 0.4476131498813629, 'kl_loss': 15161488.0, 'test_loss': 0.5479289218783379}
{'recon_loss': 0.4513790011405945, 'kl_loss': 15161486.0, 'test_loss': 0.5479289218783379}
{'recon_loss': 0.4570496082305908, 'kl_loss': 15161486.0, 'test_loss': 0.5479289218783379}
{'recon_loss': 0.4492435157299042, 'kl_loss': 15161486.0, 'test_loss': 0.5479289218783379}
{'recon_loss': 0.45172712206840515, 'kl_loss': 15161486.0, 'test_loss': 0.5479289218783379}
{'recon_loss': 0.44766348600387573, 'kl_loss': 15161486.0, 'test_loss': 0.5479289218783379}
Epoch: 170, Test Loss: 0.5470384210348129
{'recon_loss': 0.4473496377468109, 'kl_loss': 15161484.0, 'test_loss': 0.5470384210348129}
{'recon_loss': 0.4464952349662781, 'kl_loss': 15161484.0, 'test_loss': 0.5470384210348129}
{'recon_loss': 0.4459088444709778, 'kl_loss': 15161484.0, 'test_loss': 0.5470384210348129}
{'recon_loss': 0.448923796415329, 'kl_loss': 15161484.0, 'test_loss': 0.5470384210348129}
{'recon_loss': 0.45164790749549866, 'kl_loss': 15161484.0, 'test_loss': 0.5470384210348129}
{'recon_loss': 0.44874510169029236, 'kl_loss': 15161484.0, 'test_loss': 0.5470384210348129}
{'recon_loss': 0.4537412226200104, 'kl_loss': 15161484.0, 'test_loss': 0.5470384210348129}
{'recon_loss': 0.45368653535842896, 'kl_loss': 15161483.0, 'test_loss': 0.5470384210348129}
{'recon_loss': 0.45033717155456543, 'kl_loss': 15161483.0, 'test_loss': 0.5470384210348129}
{'recon_loss': 0.4496425986289978, 'kl_loss': 15161483.0, 'test_loss': 0.5470384210348129}
Epoch: 180, Test Loss: 0.5489877238869667
{'recon_loss': 0.4473426640033722, 'kl_loss': 15161483.0, 'test_loss': 0.5489877238869667}
{'recon_loss': 0.4455986022949219, 'kl_loss': 15161480.0, 'test_loss': 0.5489877238869667}
{'recon_loss': 0.4492320418357849, 'kl_loss': 15161480.0, 'test_loss': 0.5489877238869667}
{'recon_loss': 0.44817155599594116, 'kl_loss': 15161480.0, 'test_loss': 0.5489877238869667}
{'recon_loss': 0.4488912522792816, 'kl_loss': 15161478.0, 'test_loss': 0.5489877238869667}
{'recon_loss': 0.4540328085422516, 'kl_loss': 15161478.0, 'test_loss': 0.5489877238869667}
{'recon_loss': 0.45082637667655945, 'kl_loss': 15161478.0, 'test_loss': 0.5489877238869667}
{'recon_loss': 0.4491245746612549, 'kl_loss': 15161476.0, 'test_loss': 0.5489877238869667}
{'recon_loss': 0.4499744176864624, 'kl_loss': 15161476.0, 'test_loss': 0.5489877238869667}
{'recon_loss': 0.446157306432724, 'kl_loss': 15161476.0, 'test_loss': 0.5489877238869667}
Epoch: 190, Test Loss: 0.5536064952611923
{'recon_loss': 0.4514881372451782, 'kl_loss': 15161475.0, 'test_loss': 0.5536064952611923}
{'recon_loss': 0.45727601647377014, 'kl_loss': 15161475.0, 'test_loss': 0.5536064952611923}
{'recon_loss': 0.4524487257003784, 'kl_loss': 15161475.0, 'test_loss': 0.5536064952611923}
{'recon_loss': 0.4514111280441284, 'kl_loss': 15161475.0, 'test_loss': 0.5536064952611923}
{'recon_loss': 0.44748303294181824, 'kl_loss': 15161475.0, 'test_loss': 0.5536064952611923}
{'recon_loss': 0.4496745765209198, 'kl_loss': 15161475.0, 'test_loss': 0.5536064952611923}
{'recon_loss': 0.4532260000705719, 'kl_loss': 15161475.0, 'test_loss': 0.5536064952611923}
{'recon_loss': 0.45203739404678345, 'kl_loss': 15161475.0, 'test_loss': 0.5536064952611923}
{'recon_loss': 0.4582470655441284, 'kl_loss': 15161475.0, 'test_loss': 0.5536064952611923}
{'recon_loss': 0.45760035514831543, 'kl_loss': 15161475.0, 'test_loss': 0.5536064952611923}
Epoch: 200, Test Loss: 0.5494643896818161
{'recon_loss': 0.45089098811149597, 'kl_loss': 15161475.0, 'test_loss': 0.5494643896818161}
{'recon_loss': 0.4490538239479065, 'kl_loss': 15161472.0, 'test_loss': 0.5494643896818161}
{'recon_loss': 0.44906294345855713, 'kl_loss': 15161472.0, 'test_loss': 0.5494643896818161}
{'recon_loss': 0.45407670736312866, 'kl_loss': 15161472.0, 'test_loss': 0.5494643896818161}
{'recon_loss': 0.44933995604515076, 'kl_loss': 15161472.0, 'test_loss': 0.5494643896818161}
{'recon_loss': 0.45058882236480713, 'kl_loss': 15161472.0, 'test_loss': 0.5494643896818161}
{'recon_loss': 0.4494565725326538, 'kl_loss': 15161472.0, 'test_loss': 0.5494643896818161}
{'recon_loss': 0.45080628991127014, 'kl_loss': 15161470.0, 'test_loss': 0.5494643896818161}
{'recon_loss': 0.44965964555740356, 'kl_loss': 15161470.0, 'test_loss': 0.5494643896818161}
{'recon_loss': 0.4521026313304901, 'kl_loss': 15161470.0, 'test_loss': 0.5494643896818161}
Epoch: 210, Test Loss: 0.5512924045324326
{'recon_loss': 0.4483104944229126, 'kl_loss': 15161470.0, 'test_loss': 0.5512924045324326}
{'recon_loss': 0.45156291127204895, 'kl_loss': 15161470.0, 'test_loss': 0.5512924045324326}
{'recon_loss': 0.45139753818511963, 'kl_loss': 15161470.0, 'test_loss': 0.5512924045324326}
