Epoch: 0, Test Loss: 1.1887319684028625
{'recon_loss': 0.8093768358230591, 'kl_loss': 15161414.0, 'test_loss': 152.14122227260043}
{'recon_loss': 0.46629711985588074, 'kl_loss': 15161412.0, 'test_loss': 152.14122227260043}
{'recon_loss': 0.4900788366794586, 'kl_loss': 15161412.0, 'test_loss': 152.14122227260043}
{'recon_loss': 0.9838324785232544, 'kl_loss': 108.1795654296875, 'test_loss': 152.14122227260043}
{'recon_loss': 0.9427008032798767, 'kl_loss': 196.30606079101562, 'test_loss': 152.14122227260043}
{'recon_loss': 1.1313304901123047, 'kl_loss': 274.01580810546875, 'test_loss': 152.14122227260043}
{'recon_loss': 1.329374074935913, 'kl_loss': 291.239501953125, 'test_loss': 152.14122227260043}
{'recon_loss': 0.8995672464370728, 'kl_loss': 361.11102294921875, 'test_loss': 152.14122227260043}
{'recon_loss': 0.8694871068000793, 'kl_loss': 651.9180908203125, 'test_loss': 152.14122227260043}
{'recon_loss': 0.9087087512016296, 'kl_loss': 460.17987060546875, 'test_loss': 152.14122227260043}
{'recon_loss': 0.8474835157394409, 'kl_loss': 404.05316162109375, 'test_loss': 152.14122227260043}
{'recon_loss': 0.9271488189697266, 'kl_loss': 416.8338317871094, 'test_loss': 152.14122227260043}
{'recon_loss': 0.9440351724624634, 'kl_loss': 490.60772705078125, 'test_loss': 152.14122227260043}
{'recon_loss': 0.9401968717575073, 'kl_loss': 2009.1859130859375, 'test_loss': 152.14122227260043}
{'recon_loss': 0.9569408297538757, 'kl_loss': 3618.738037109375, 'test_loss': 152.14122227260043}
{'recon_loss': 1.1572520732879639, 'kl_loss': 3379.693359375, 'test_loss': 152.14122227260043}
{'recon_loss': 0.9810051321983337, 'kl_loss': 2900.55615234375, 'test_loss': 152.14122227260043}
{'recon_loss': 0.9439257979393005, 'kl_loss': 2560.7705078125, 'test_loss': 152.14122227260043}
{'recon_loss': 0.9827982187271118, 'kl_loss': 2214.22900390625, 'test_loss': 152.14122227260043}
{'recon_loss': 0.8514997363090515, 'kl_loss': 1979.0706787109375, 'test_loss': 152.14122227260043}
{'recon_loss': 0.888770341873169, 'kl_loss': 1768.532958984375, 'test_loss': 152.14122227260043}
{'recon_loss': 1.0560266971588135, 'kl_loss': 1588.5654296875, 'test_loss': 152.14122227260043}
{'recon_loss': 1.8392407894134521, 'kl_loss': 1397.2464599609375, 'test_loss': 152.14122227260043}
{'recon_loss': 1.1437320709228516, 'kl_loss': 1265.47314453125, 'test_loss': 152.14122227260043}
{'recon_loss': 1.128261685371399, 'kl_loss': 1140.7724609375, 'test_loss': 152.14122227260043}
{'recon_loss': 1.1565780639648438, 'kl_loss': 1043.6070556640625, 'test_loss': 152.14122227260043}
{'recon_loss': 1.09716796875, 'kl_loss': 929.7742919921875, 'test_loss': 152.14122227260043}
{'recon_loss': 1.1989169120788574, 'kl_loss': 853.4235229492188, 'test_loss': 152.14122227260043}
{'recon_loss': 1.0084666013717651, 'kl_loss': 783.4567260742188, 'test_loss': 152.14122227260043}
{'recon_loss': 0.9933653473854065, 'kl_loss': 732.0397338867188, 'test_loss': 152.14122227260043}
{'recon_loss': 0.9960283041000366, 'kl_loss': 654.8309326171875, 'test_loss': 152.14122227260043}
{'recon_loss': 0.9238243103027344, 'kl_loss': 613.8162231445312, 'test_loss': 152.14122227260043}
{'recon_loss': 1.122593641281128, 'kl_loss': 548.9454956054688, 'test_loss': 152.14122227260043}
{'recon_loss': 1.0489321947097778, 'kl_loss': 520.8782958984375, 'test_loss': 152.14122227260043}
{'recon_loss': 1.1689023971557617, 'kl_loss': 477.76361083984375, 'test_loss': 152.14122227260043}
{'recon_loss': 1.1227515935897827, 'kl_loss': 446.84051513671875, 'test_loss': 152.14122227260043}
{'recon_loss': 0.9295245409011841, 'kl_loss': 419.0152587890625, 'test_loss': 152.14122227260043}
{'recon_loss': 0.9746853113174438, 'kl_loss': 391.8953552246094, 'test_loss': 152.14122227260043}
{'recon_loss': 0.8485575914382935, 'kl_loss': 371.5779724121094, 'test_loss': 152.14122227260043}
